Account,total_days,avg_daily_trades,total_pnl,avg_pnl,std_pnl,avg_win_rate,avg_leverage,avg_trade_size,total_volume,consistency,leverage_segment,frequency_segment,performance_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,24,159.08333333333334,1592824.507675,66367.68781979167,150311.43401406746,0.7706911497254099,12.70781426159554,33569.102223713766,61697263.970000006,0.44153452633270995,High Leverage,Frequent,Inconsistent Winner
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,52,140.0,45155.48262547,868.3746658744232,3584.0425986864193,0.7746694551728613,8.317660326044287,4359.8309302466505,12035487.66,0.2422891586703488,High Leverage,Frequent,Inconsistent Winner
0x271b280974205ca63b716753467d5a371de622ab,12,317.4166666666667,-79717.174168,-6643.097847333333,33909.57987502584,0.7291901940773508,14.921662760030738,11057.118418553686,33873440.42,-0.19590622684847614,High Leverage,Frequent,Net Loser
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,162,82.16666666666667,130246.4471875491,803.9904147379574,2994.9314600699445,0.8834986162967678,6.765820797733207,484.8442941619222,6757022.1,0.2684503553611143,High Leverage,Frequent,Inconsistent Winner
0x2c229d22b100a7beb69122eed721cee9b24011dd,69,46.94202898550725,165549.808272,2399.272583652174,4834.994863974544,0.7615892289549481,5.469920101977198,2553.7570373757217,10166880.2,0.4962306374985233,High Leverage,Infrequent,Inconsistent Winner
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,43,18.953488372093023,-31350.67474938,-729.0854592879069,10112.60158708442,0.6742275521077364,2.878816825157588,1613.2556722621034,1409902.0,-0.07209672535889063,Low Leverage,Infrequent,Net Loser
0x39cef799f8b69da1995852eea189df24eb5cae3c,46,78.02173913043478,12998.262209930008,282.57091760717407,14595.463714384083,0.8311065086645512,3.3344987275572713,28188.549085190585,17193375.42,0.01936018773618652,Low Leverage,Frequent,Inconsistent Winner
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,28,11.857142857142858,53319.973067083,1904.2847523958214,5774.365749899695,1.0,2.583089988953427,9812.51560528366,1143896.46,0.3297824964462807,Low Leverage,Infrequent,Consistent Winner
0x420ab45e0bd8863569a5efbb9c05d91f40624641,20,19.15,199237.625643021,9961.88128215105,20798.281922899627,1.0,4.034560938957897,8334.762260556681,1987527.6099999999,0.4789761634677465,Low Leverage,Infrequent,Consistent Winner
0x430f09841d65beb3f27765503d0f850b8bce7713,28,44.17857142857143,415794.86541,14849.816621785716,32718.88358969922,1.0,2.2643897413152807,2525.945975144083,2966109.22,0.45386073705952595,Low Leverage,Infrequent,Consistent Winner
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,144,59.15972222222222,102112.86963981809,709.1171502765145,2469.7651580208812,0.8128397849603801,3.7731748414654587,516.6442989710463,4408828.9,0.2871192623207777,Low Leverage,Infrequent,Inconsistent Winner
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,58,75.10344827586206,669721.05824881,11546.914797393276,25187.33126131959,0.9126012876012876,10.60808475298343,16024.724760769133,39572949.25,0.45844137584857897,High Leverage,Frequent,Consistent Winner
0x4f93fead39b70a1824f981a54d4e55b278e9f760,321,23.626168224299064,268251.402313,835.6741505077881,7442.435670419326,0.9598035894545963,3.414577026875565,16038.456425115373,129672529.28,0.11228503510339433,Low Leverage,Infrequent,Inconsistent Winner
0x513b8629fe877bb581bf244e326a047b249c4ff1,39,313.7435897435897,763997.91232431,19589.690059597695,41065.62224077955,0.8668135348666396,24.25388254200451,27603.84521556422,420876556.36,0.47703380566688386,High Leverage,Frequent,Consistent Winner
0x6d6a4b953f202f8df5bed40692e7fd865318264a,47,20.74468085106383,108544.3806950676,2309.4549084056935,7468.0821162266,0.9533730158730158,3.1270778888239583,867.1703611532234,728057.51,0.3092433736618569,Low Leverage,Infrequent,Consistent Winner
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,19,83.6842105263158,427804.1286487099,22516.00677098473,80176.70969014398,0.5299145299145299,8.96605998607589,9367.295108536868,11474500.92,0.28082976787151187,High Leverage,Frequent,Inconsistent Winner
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,65,21.907692307692308,360258.01118484,5542.430941305231,23400.719918832216,0.7883155080213904,4.329056490384615,4688.041802175383,2962475.47,0.2368487363008368,Low Leverage,Infrequent,Inconsistent Winner
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,146,67.76027397260275,376500.14756932,2578.7681340364384,4752.630610056145,0.8804709200721843,10.638736910275561,3354.209290301069,25729497.24,0.5425980568698088,High Leverage,Frequent,Consistent Winner
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,26,59.96153846153846,14120.22614404,543.0856209246153,828.6420087287065,0.9088894191256396,2.539425747028024,6760.1144210194525,5844484.45,0.6553923349334067,Low Leverage,Frequent,Consistent Winner
0x8170715b3b381dffb7062c0298972d4727a0a63b,92,50.01086956521739,-169200.51023292003,-1839.135980792609,38251.0712446861,0.7719582022958876,4.634830315272213,2782.687344213111,10143758.13,-0.048080639860461544,Low Leverage,Infrequent,Net Loser
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,54,35.388888888888886,62128.77568742,1150.5328831003703,5420.0715644093125,0.8301391760610106,2.843445821587301,5475.174210575846,11999173.370000001,0.2122726368882838,Low Leverage,Infrequent,Inconsistent Winner
0x8477e447846c758f5a675856001ea72298fd9cb5,174,86.19540229885058,40124.46588053,230.60037862373562,3380.450732790992,0.8582936814277426,4.28197364181445,839.021370213006,12304786.84,0.06821586730635346,Low Leverage,Frequent,Inconsistent Winner
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,18,169.55555555555554,123756.98333474,6875.387963041111,15496.7697841819,0.8688811188811189,8.7656919735503,12481.488695021257,10992355.74,0.4436658773920138,High Leverage,Frequent,Consistent Winner
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,64,243.828125,104014.9198228958,1625.2331222327468,2669.071196087197,0.9719059123267462,10.389179003830389,1273.0527781456335,19868207.98,0.6089133645499246,High Leverage,Frequent,Consistent Winner
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,37,11.27027027027027,72656.54626749,1963.690439661892,7525.106958162734,0.6666666666666666,1.656430071775978,2007.3297785771122,861809.4,0.2609518310609275,Low Leverage,Infrequent,Inconsistent Winner
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,15,37.53333333333333,67296.89026639,4486.459351092666,8516.173411663409,1.0,7.008760926559555,2959.4760618012087,1677425.7200000002,0.5268163451143669,High Leverage,Infrequent,Consistent Winner
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,20,26.7,21217.0861435536,1060.8543071776799,2019.9228525112428,0.8783542039355994,4.6056016632131715,18919.354152424097,4448323.26,0.5251954577665116,Low Leverage,Infrequent,Consistent Winner
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,256,57.55078125,2127387.27943718,8310.106560301485,39920.39323001127,0.7997419813230227,4.656098337578577,4495.49655852293,56543565.23,0.2081669514731666,Low Leverage,Infrequent,Inconsistent Winner
0xb899e522b5715391ae1d4f137653e7906c5e2115,35,138.22857142857143,-6154.672893999998,-175.84779697142852,12429.239041334165,0.85729441806591,8.128994948135466,26246.518331080708,108877041.1,-0.014147913350659387,High Leverage,Frequent,Net Loser
0xbaaaf6571ab7d571043ff1e313a9609a10637864,28,756.8571428571429,931567.100553781,33270.25359120646,74471.64072506381,0.9498331633731827,31.25377761530406,4528.364242699367,68036340.24,0.44675064584697927,High Leverage,Frequent,Consistent Winner
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,67,39.417910447761194,215745.96336857002,3220.089005501045,30291.85179804732,0.5507125944842794,6.810984083362469,10511.08274482338,20737391.71,0.10630215105266755,High Leverage,Infrequent,Inconsistent Winner
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,131,306.7480916030534,822727.65336805,6280.363766168321,25630.98611249337,0.8055407335868281,8.88140740980117,1760.5388452412292,74107810.44,0.2450301263714184,High Leverage,Frequent,Inconsistent Winner
